date,strategy,gross_return,trading_cost_return,funding_return,net_return,turnover,kill_switch_active,normalized_nav,drawdown,source_run_id,source_zip_sha256,source_economic_row_sha256,prev_chain_sha256,chain_sha256
2026-08-14,Delta_LS_70_30,-0.001872471262941368,0.000272,-0.00016894207540571997,-0.002144471262941368,0.33999999999999997,False,0.9978555287370586,-0.002144471262941372,31857524889,157326c18babf3bfa31bb4ce01c0a2a237a0f930ad98b044985913eed0e5bf00,e5bc3c8dd8d6be6a452de919a612b2718d4b08d85053501c1be2faf5987e6899,0000000000000000000000000000000000000000000000000000000000000000,22dc853b316c69c777710ad336e89683a18b21f673781f0720dbb36e58478d3b
2026-08-14,Delta_LS_70_30_StopVol,-0.001872471262941368,0.000272,-0.00016894207540571997,-0.002144471262941368,0.33999999999999997,False,0.9978555287370586,-0.002144471262941372,31857524889,157326c18babf3bfa31bb4ce01c0a2a237a0f930ad98b044985913eed0e5bf00,5402321ab2d110a66025e60694f8213632ed97df51dbb61f03a7157a266bd122,22dc853b316c69c777710ad336e89683a18b21f673781f0720dbb36e58478d3b,14f9b0d59a5a30d6d3ba50f2617bbd5c6531e611d88d9146704bf7e7c4f159a5
2026-08-14,Delta_LS_50_50,1.1570971907940873e-05,0.00024000000000000003,-0.00012618031042236,-0.00022842902809205916,0.30000000000000004,False,0.9997715709719079,-0.00022842902809205867,31857524889,157326c18babf3bfa31bb4ce01c0a2a237a0f930ad98b044985913eed0e5bf00,9bfa478267f91e77901e274948fbf7d7d52ff1969a8892111592dd7c7648faab,14f9b0d59a5a30d6d3ba50f2617bbd5c6531e611d88d9146704bf7e7c4f159a5,174944c5f54cec07e161fe38e7975d62a909a252d966f933b686ad88318a30d6
2026-08-14,Delta_LS_50_50_StopVol,1.1570971907940873e-05,0.00024000000000000003,-0.00012618031042236,-0.00022842902809205916,0.30000000000000004,False,0.9997715709719079,-0.00022842902809205867,31857524889,157326c18babf3bfa31bb4ce01c0a2a237a0f930ad98b044985913eed0e5bf00,9b2db36dfb00d6e293609653355ee57124726441c49f9ddd9671cbae4bd6c935,174944c5f54cec07e161fe38e7975d62a909a252d966f933b686ad88318a30d6,107e7b2ee723239dcf361f57d0d1e3003a9cc2b0faf6770e7d3538b2de177f3b
2026-08-15,Delta_LS_70_30,0.004936714971523199,4.8e-05,-6.59791677644e-05,0.004888714971523198,0.06,False,1.0027337599998125,0.0,31920701844,d7e20b768615b57989f289328ca808e61fa128f2b03a47faf89fd9a837636f0d,35c8b519e880d0baeb09b78abb96aea77792e5f9eb1cc91c241a2455381bfe70,107e7b2ee723239dcf361f57d0d1e3003a9cc2b0faf6770e7d3538b2de177f3b,552f9a0deae9ebad367d0c3e577eecb115d423d6f16d40baef8e9a1f8cdceacc
2026-08-15,Delta_LS_70_30_StopVol,0.004936714971523199,4.8e-05,-6.59791677644e-05,0.004888714971523198,0.06,False,1.0027337599998125,0.0,31920701844,d7e20b768615b57989f289328ca808e61fa128f2b03a47faf89fd9a837636f0d,b7972cc3e1fe2bfd9d3b0f609b19121561e4fcab19c31c8d7187769192139ec4,552f9a0deae9ebad367d0c3e577eecb115d423d6f16d40baef8e9a1f8cdceacc,55e6c699d147833f6e1ac4ea056f7f6ee7ab206df4301a9f626704d51722ee14
2026-08-15,Delta_LS_50_50,0.0042579871952156565,8e-05,-4.978104888816001e-05,0.004177987195215656,0.1,False,1.0039486037935692,0.0,31920701844,d7e20b768615b57989f289328ca808e61fa128f2b03a47faf89fd9a837636f0d,3553f47120546629bf86e6aff3023aeb6f7856ca44c131bf3829fff384539def,55e6c699d147833f6e1ac4ea056f7f6ee7ab206df4301a9f626704d51722ee14,b48b0e99c7dd2794c356bfc430f6b8bc9e4fc98f5a8b06a9b6e19c33382b2943
2026-08-15,Delta_LS_50_50_StopVol,0.0042579871952156565,8e-05,-4.978104888816001e-05,0.004177987195215656,0.1,False,1.0039486037935692,0.0,31920701844,d7e20b768615b57989f289328ca808e61fa128f2b03a47faf89fd9a837636f0d,9ef69b9848907bf6db8411a7f32aa5062081a57ad0eb491cca2ce8114cb8f16b,b48b0e99c7dd2794c356bfc430f6b8bc9e4fc98f5a8b06a9b6e19c33382b2943,34ccdca98d004466d64eaae770061ab5d067ca39b8ef2c67482dad6cd7c1ea69
2026-08-16,Delta_LS_70_30,-0.0027730073450364144,0.00048,-1.7775382323639997e-05,-0.0032530073450364144,0.6,False,0.9994718597134171,-0.0032530073450364183,32024828624,f0a0a47b10777b04e721a1304130a592d916eb755016b06f032f2bc3503c417b,52616f120fecc3707be39c6d4cd1e2b4a0ea9749cee2f6d5e142d7c3ae51f1a2,34ccdca98d004466d64eaae770061ab5d067ca39b8ef2c67482dad6cd7c1ea69,c4b22b1b70c339c386a8c4a155571bb5b099437be08df108dbf597a4a2911740
2026-08-16,Delta_LS_70_30_StopVol,-0.0027730073450364144,0.00048,-1.7775382323639997e-05,-0.0032530073450364144,0.6,False,0.9994718597134171,-0.0032530073450364183,32024828624,f0a0a47b10777b04e721a1304130a592d916eb755016b06f032f2bc3503c417b,1c5925ded9f858d7cd407e9f4793503231eaed5c490a773fa5631e62036f2202,c4b22b1b70c339c386a8c4a155571bb5b099437be08df108dbf597a4a2911740,127e832d2b771f5e211db5ac94553ee791cb64cb75ca7dfced19c122c3264fd9
2026-08-16,Delta_LS_50_50,-0.0005325340648177189,0.00048,-5.213458583999983e-07,-0.001012534064817719,0.6,False,1.002932071632902,-0.0010125340648177161,32024828624,f0a0a47b10777b04e721a1304130a592d916eb755016b06f032f2bc3503c417b,e9c90e5c5cfffa39a7bfa13d9d2920d89fae2b90a6b01f86d65265fb67156c53,127e832d2b771f5e211db5ac94553ee791cb64cb75ca7dfced19c122c3264fd9,ed15a4e836d0770cce76ba172caef30714f0f2e0e9a3435445179af64492bf81
2026-08-16,Delta_LS_50_50_StopVol,-0.0005325340648177189,0.00048,-5.213458583999983e-07,-0.001012534064817719,0.6,False,1.002932071632902,-0.0010125340648177161,32024828624,f0a0a47b10777b04e721a1304130a592d916eb755016b06f032f2bc3503c417b,c8e40f69ac59ca4964e6927205aacf5d674a81972a412544e5b7febc0b961de5,ed15a4e836d0770cce76ba172caef30714f0f2e0e9a3435445179af64492bf81,89a6edd39ee47e5143f6a50af021831dce5c443a61656d4b0825e16f457a9f09
2026-08-17,Delta_LS_70_30,0.002103644360809494,0.000256,-2.2165775222611997e-05,0.001847644360809494,0.32,False,1.0013185282588044,-0.0014113733849036025,32089595142,c2b41c5ed31ded4ab413ec5a82021b1b6be144172ca2160a3df5abc952fcf2b6,1a4b23d01d663da8dd9bf5630b6aed64fdf3f69d8546e5ea1eca846abd9b1a25,89a6edd39ee47e5143f6a50af021831dce5c443a61656d4b0825e16f457a9f09,829108a6bbca65d8fa4e48d140f74180540fb3b45a5109d43157682bb8b918a8
2026-08-17,Delta_LS_70_30_StopVol,0.002103644360809494,0.000256,-2.2165775222611997e-05,0.001847644360809494,0.32,False,1.0013185282588044,-0.0014113733849036025,32089595142,c2b41c5ed31ded4ab413ec5a82021b1b6be144172ca2160a3df5abc952fcf2b6,612547db9eea04cefa48c54c54ef468dcaced30920423f049c842de3f03e2089,829108a6bbca65d8fa4e48d140f74180540fb3b45a5109d43157682bb8b918a8,45dffef025c3c0d39e0f2ac47e1921b9c1567e99dd18a42a1c2ad54055c94d39
2026-08-17,Delta_LS_50_50,-0.0026103015040327584,0.00032,-9.591070105379997e-06,-0.0029303015040327584,0.4,False,0.9999931782749535,-0.003939868538757385,32089595142,c2b41c5ed31ded4ab413ec5a82021b1b6be144172ca2160a3df5abc952fcf2b6,2e073feef4517bcb8ab4dbc322bb984f89f3046850fd15fd445ee14a61360696,45dffef025c3c0d39e0f2ac47e1921b9c1567e99dd18a42a1c2ad54055c94d39,4f39558619d618815b20c7aa2448cc90adffb1a3a83c6564255ada19f5344b4d
2026-08-17,Delta_LS_50_50_StopVol,-0.0026103015040327584,0.00032,-9.591070105379997e-06,-0.0029303015040327584,0.4,False,0.9999931782749535,-0.003939868538757385,32089595142,c2b41c5ed31ded4ab413ec5a82021b1b6be144172ca2160a3df5abc952fcf2b6,4db44217c4f36eac358b48b448746d9780e73f198526d2a822911c484d537f90,4f39558619d618815b20c7aa2448cc90adffb1a3a83c6564255ada19f5344b4d,b75283be27a75bdadea91299568ae190a8f569767ebccb3215a53c5cc46ea621
2026-08-18,Delta_LS_70_30,0.005008739844396198,9.6e-05,-7.996472726679984e-07,0.004912739844396198,0.12,False,1.0062377456895135,0.0,32206461867,9163dc5bcc123e5cf1f44c518f48e3f78636f087412b6a5fb949dbb05ad0e856,5e93c71d615b8bdac25216ee239c9cebd0f68033d3e1a9c4a1793ee468573e12,b75283be27a75bdadea91299568ae190a8f569767ebccb3215a53c5cc46ea621,f4818f8fbd2cae83f8354152198999916b4af8105ce744855625420eb0583ba2
2026-08-18,Delta_LS_70_30_StopVol,0.005008739844396198,9.6e-05,-7.996472726679984e-07,0.004912739844396198,0.12,False,1.0062377456895135,0.0,32206461867,9163dc5bcc123e5cf1f44c518f48e3f78636f087412b6a5fb949dbb05ad0e856,29743876faf15936afe79415cf01f158fcfd98f21f1f2a3c3a9d95c73d933857,f4818f8fbd2cae83f8354152198999916b4af8105ce744855625420eb0583ba2,6fe65145a67de55955e442381e44d25313d6f600b5305a7139de8a8006ea9562
2026-08-18,Delta_LS_50_50,0.0070363954659144615,0.00016,-1.020253457414e-05,0.006876395465914461,0.2,False,1.006869526831989,0.0,32206461867,9163dc5bcc123e5cf1f44c518f48e3f78636f087412b6a5fb949dbb05ad0e856,475150a21ede8f22f791f4b1755778369944c5c6526d4b5d51573997142ed53d,6fe65145a67de55955e442381e44d25313d6f600b5305a7139de8a8006ea9562,8eb850db272c0c1291bd79ad2fe040bade960b6ad85eac5ebdfa769a20cb532b
2026-08-18,Delta_LS_50_50_StopVol,0.0070363954659144615,0.00016,-1.020253457414e-05,0.006876395465914461,0.2,False,1.006869526831989,0.0,32206461867,9163dc5bcc123e5cf1f44c518f48e3f78636f087412b6a5fb949dbb05ad0e856,02d81a6b8e759afe852950f9e549aefc9d8f6c731b10196cbab918a53253b1ad,8eb850db272c0c1291bd79ad2fe040bade960b6ad85eac5ebdfa769a20cb532b,101bcf5a71e54af7f8b35a86756b213c6cd1c127f4d21bb5a930677c757e39f7
2026-08-19,Delta_LS_70_30,0.056484321649476275,0.000704,-1.3720353969140034e-06,0.05578032164947627,0.88,False,1.0623660107999184,0.0,32322475337,d625b772ab099386fc2f5386fe6aadb8276ecef4e4ec5e08fce335afdd493005,72c5040929d965604a4c45c196400163e9b8dcc79007755bd30500cc81b53b61,101bcf5a71e54af7f8b35a86756b213c6cd1c127f4d21bb5a930677c757e39f7,9e347a547d634fa6f5474afae077c9c87754365a2f9cb294120751bbb5d154a0
2026-08-19,Delta_LS_70_30_StopVol,0.056484321649476275,0.000704,-1.3720353969140034e-06,0.05578032164947627,0.88,False,1.0623660107999184,0.0,32322475337,d625b772ab099386fc2f5386fe6aadb8276ecef4e4ec5e08fce335afdd493005,7fe64c590ebc9f745c2aa37c836b1b0b8a3cb5ed3546ff6896c343bf4493cf87,9e347a547d634fa6f5474afae077c9c87754365a2f9cb294120751bbb5d154a0,29e77164a32d822b5ac0eed1e6d0824df87f103bbcb77caea733b348be7bb704
2026-08-19,Delta_LS_50_50,0.03763352705028811,0.00064,-9.80025283510004e-07,0.036993527050288105,0.7999999999999999,False,1.044117181908959,0.0,32322475337,d625b772ab099386fc2f5386fe6aadb8276ecef4e4ec5e08fce335afdd493005,67e75296077599a643350bb67758f6fe510047ceb7a8d1f4b1f2291b448c4e82,29e77164a32d822b5ac0eed1e6d0824df87f103bbcb77caea733b348be7bb704,afc81c959ed25ae4ddf9e8a5447339e7130e7b5103b7fa2c44ead82fc04e3949
2026-08-19,Delta_LS_50_50_StopVol,0.03763352705028811,0.00064,-9.80025283510004e-07,0.036993527050288105,0.7999999999999999,False,1.044117181908959,0.0,32322475337,d625b772ab099386fc2f5386fe6aadb8276ecef4e4ec5e08fce335afdd493005,3fe7b3192caed855bec41a163cb940170f2aec9dd7c45363f9fae69e79281ed3,afc81c959ed25ae4ddf9e8a5447339e7130e7b5103b7fa2c44ead82fc04e3949,cb51b3ecfee84e5a3c7aea8377fd900723617962fd1795197a6d256c10431abd
